datum,predsolski,osnovnosolski,srednjesolci,studentje,odrasli_m,odrasli_z,upokojenci_m,upokojenci_z,skupaj
5/5/2013,0,0,0,0,4,3,4,2,13
5/7/2013,0,0,0,1,1,3,0,0,5
5/8/2013,0,0,0,2,1,0,0,0,3
5/9/2013,0,0,0,0,0,0,2,2,4
5/10/2013,0,0,0,0,3,3,2,2,10
5/11/2013,0,1,0,0,11,5,6,3,26
5/12/2013,1,0,0,6,3,1,1,1,13
5/14/2013,0,0,1,2,7,4,1,0,15
5/15/2013,0,0,0,0,1,0,0,0,1
5/16/2013,0,0,0,3,2,1,0,0,6
5/17/2013,0,0,0,2,2,6,2,2,14
5/18/2013,3,6,2,20,34,35,19,25,144
5/19/2013,0,0,0,5,5,4,3,2,19
5/21/2013,0,0,0,2,1,3,1,4,11
5/22/2013,0,0,0,6,4,4,1,4,19
5/23/2013,0,0,0,5,3,3,0,1,12
5/24/2013,0,0,2,0,0,0,1,1,4
5/25/2013,0,0,0,2,1,0,1,1,5
6/1/2013,0,0,1,1,1,0,0,0,3
12/7/2013,0,0,0,0,2,0,0,0,2
4/22/2014,0,1,0,1,4,3,2,4,21
4/23/2014,0,0,0,1,3,1,0,3,8
4/24/2014,0,0,0,8,2,3,1,2,22
4/25/2014,0,1,0,0,4,8,2,2,17
4/26/2014,0,0,0,4,7,10,3,2,31
4/27/2014,0,0,0,5,6,5,2,2,35
4/29/2014,0,2,2,3,1,4,1,1,26
4/30/2014,0,0,0,0,3,4,3,3,21
5/1/2014,0,0,0,1,2,6,2,2,13
5/2/2014,0,0,0,2,7,6,3,3,23
5/3/2014,0,0,0,2,7,5,3,4,29
5/4/2014,0,0,0,0,6,3,0,0,16
5/6/2014,0,0,0,0,3,0,5,6,14
5/7/2014,0,0,0,3,1,1,1,11,20
5/8/2014,0,0,0,7,3,1,0,0,11
5/9/2014,0,0,0,2,1,5,2,1,11
5/10/2014,0,0,0,0,2,4,1,2,9
5/11/2014,0,0,0,2,5,3,5,1,19
5/13/2014,0,0,0,1,2,4,4,3,14
5/14/2014,0,0,0,0,4,1,2,2,9
5/15/2014,0,0,0,0,7,7,0,0,14
5/16/2014,0,0,0,3,6,5,3,3,20
